date,agent,model,task_type,issue_or_feature,branch,status,tokens_or_credits,prs_opened,tests_passed,blocked_reason,notes
2026-05-16,Codex,GPT-5,implementation,FEAT-105,feat/FEAT-105-starlette-pin,implemented,unknown,1,"rg pin check passed; pip show starlette 0.52.1; backend pytest 254 passed",,"Pinned starlette>=0.49.1 in backend requirements; opened draft PR #323"
2026-05-16,Codex,GPT-5,implementation,FEAT-106,codex/feat-106-jwt-algorithm-audit,implemented,unknown,0,"test_jwt_algorithm_enforcement.py 4 passed; test_security.py 20 passed; backend pytest tests/ 258 passed; jwt.decode audit passed; FEAT-106 doc rg passed",,"Added JWT algorithm enforcement regression tests, decode allowlist comment, follow-up doc note, and test-plan fixes"
2026-05-16,Codex,GPT-5,implementation,FEAT-107,codex/feat-107-pin-redis-image,implemented,unknown,1,"redis floating tag rg returned zero; pinned tag rg returned two; docker compose config resolved redis:7.4.6-alpine; FEAT-107 doc rg passed",,"Pinned Redis Compose images to redis:7.4.6-alpine and fixed FEAT-107 test-plan references"
2026-05-17,Codex,GPT-5,spec,FEAT-116,main,drafted,unknown,0,"FEAT-116 AC mapping rg passed; response-class audit found no ORJSONResponse/UJSONResponse usage; doc verification rg checks passed",,"Created feature spec and test plan from GitHub issue #330 for FastAPI 0.129.2 to 0.136.1 upgrade planning"
2026-05-18,Codex,GPT-5,implementation,FEAT-112,codex/feat-112-redis-cve-verification,verified,unknown,1,"TC-001 through TC-005 rg checks passed; official Redis 7.4 release notes and redis/redis 7.4.9 release checked; docker manifest inspect redis:7.4.9-alpine passed",,"Verified redis:7.4.6-alpine is behind Redis 7.4.9 for 2026 Redis server CVEs; documented redis:7.4.9-alpine as follow-up candidate"
2026-05-18,Codex,GPT-5,implementation,FEAT-116,codex/feat-116-fastapi-upgrade-plan,implemented,unknown,1,"TC-001 through TC-007 rg checks passed; FastAPI 0.136.1 metadata inspected; response-class audit no matches; JSON client audit no missing JSON content-type callers",,"Completed approved FastAPI 0.129.2 to 0.136.1 upgrade plan with audits, scope boundaries, verification commands, and rollback path"
2026-05-18,Codex,GPT-5,implementation,FEAT-117,codex/feat-117-frontend-deps,implemented,unknown,0,"TC-001 manifest check passed; TC-002 Tailwind v3 guard passed; TC-003 TypeScript 5.9 lockfile check passed; npm ls passed; npm run lint && npm run build passed",,"Pinned React and React DOM to 19.2.6, Tailwind CSS to 3.4.19, and TypeScript constraint to ^5.9.0; no source compatibility edits needed"
2026-05-18,Codex,GPT-5,implementation,FEAT-108,codex/feat-108-uvicorn-upgrade,implemented,unknown,1,"clean Python 3.12 install passed; backend pytest tests/ passed 258; production uvicorn /health smoke passed; reload uvicorn /health smoke passed",,"Pinned uvicorn[standard] to 0.47.0 only; FastAPI 0.129.2 resolved with Starlette 0.52.1; opened draft PR #362; rollback is reverting uvicorn pin to 0.32.1"
2026-05-20,Codex,GPT-5,bugfix,frontend-docker-next-swc-mismatch,main,implemented,unknown,0,"docker compose build frontend passed; Next.js 16.2.6 build completed with no @next/swc mismatch warning",,"Added frontend/.dockerignore so Docker COPY does not overwrite npm ci dependencies with stale host node_modules or .next artifacts"
2026-05-29,Codex,GPT-5,bugfix,strategy-list-query-failure-banner,446-refactor-consolidate-frontend-data-fetching-into-domain-api-clients,implemented,unknown,0,"npm test passed 37 files / 471 tests; targeted ESLint on strategies/page.tsx passed with 0 errors and existing warnings; npm run build passed; full npm run lint blocked by existing storybook-static generated bundle errors",,"Surfaced strategies list query failures in the existing banner and initial-failure retry state"
2026-05-29,Codex,GPT-5,bugfix,strategy-alert-edit-form-hydration,446-refactor-consolidate-frontend-data-fetching-into-domain-api-clients,implemented,unknown,0,"targeted use-strategy-alerts test passed; npm test passed 38 files / 472 tests; scoped ESLint on changed files passed; npm run build passed; full npm run lint blocked by existing storybook-static generated bundle errors",,"Seeded strategy alert edit form from loaded rule and added no-op save regression coverage"
